Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fh7p,branch-k5w1,order-p2cm,checkpoint-2b62,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Audio_Filename,Same_Different,text,embedded,Attend_Condition,Present_Absent,Absent_Present,Length,Pause,Sequence Pause,Sequence_Names,Switch_Names,Stim_Ind,Stim_Name
1,1677185529768,23/02/2023 20:52:09,1677185529621,-5,23/02/2023 15:52:09,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,
2,1677185543257,23/02/2023 20:52:23,1677185543161,-5,23/02/2023 15:52:23,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,1,1,1,Screen 1,advancementZone,continue_button,13455.600000023842,null,,null,,0,1,0,null,null,false,,,text,,,"<p style=""font-size: 32px;""> In this experiement there will be 4 blocks.   Press ""Next"" to enter the block.  </p>",,,,,,,,,,,
3,1677185546870,23/02/2023 20:52:26,1677185546761,-5,23/02/2023 15:52:26,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,11,2,1,Screen 1,advancementZone,continue_button,3587,null,,null,,0,1,0,null,null,false,2,,text,,,"<p style=""font-size: 32px;""> In this task, you will hear a sequence of syllables with different pitches, a pause, then a singular syllable. Your task is to determine whether the PITCH of this singular syllable was in the previous sequence.  After hearing the singular syllable, you will be prompted to indicate whether the pitch of the syllable was ""absent"" or ""present"" from the sequence. Press ""Next"" to start trials.  </p>",,,,,,,,,,,
4,1677185546983,23/02/2023 20:52:26,1677185546789,-5,23/02/2023 15:52:26,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,16,1,1,Screen 1,Zone1,content_web_audio,0.7999999523162842,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,2,2,task-ap,Block_4_female_1speaker_absent_pitch_6_serial_0_1.wav,,,,### pitch,,absent,6,10,2000,"['AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav']",AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav,0,
5,1677185552032,23/02/2023 20:52:32,1677185551652,-5,23/02/2023 15:52:31,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,16,1,1,Screen 1,Zone1,content_web_audio,4863.199999928474,null,,null,,0,1,0,null,null,false,2,2,task-ap,Block_4_female_1speaker_absent_pitch_6_serial_0_1.wav,,,,### pitch,,absent,6,10,2000,"['AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav']",AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav,0,
6,1677185555711,23/02/2023 20:52:35,1677185555617,-5,23/02/2023 15:52:35,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,16,1,2,Screen 2,buttonB,response_button_text,3937.5,null,,absent,1,0,1,0,null,null,false,2,2,task-ap,Block_4_female_1speaker_absent_pitch_6_serial_0_1.wav,,,,### pitch,,absent,6,10,2000,"['AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav']",AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav,0,
7,1677185555843,23/02/2023 20:52:35,1677185555631,-5,23/02/2023 15:52:35,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,15,2,1,Screen 1,Zone1,content_web_audio,0.3999999761581421,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,2,2,task-ap,Block_4_female_1speaker_present_pitch_6_serial_1_1.wav,,,,### pitch,,present,6,10,2000,"['AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav']",AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav,1,
8,1677185560929,23/02/2023 20:52:40,1677185560486,-5,23/02/2023 15:52:40,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,15,2,1,Screen 1,Zone1,content_web_audio,4853.700000047684,null,,null,,0,1,0,null,null,false,2,2,task-ap,Block_4_female_1speaker_present_pitch_6_serial_1_1.wav,,,,### pitch,,present,6,10,2000,"['AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav']",AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav,1,
9,1677185572391,23/02/2023 20:52:52,1677185572289,-5,23/02/2023 15:52:52,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,15,2,2,Screen 2,buttonB,response_button_text,11789.900000095367,null,,absent,1,0,1,0,null,null,false,2,2,task-ap,Block_4_female_1speaker_present_pitch_6_serial_1_1.wav,,,,### pitch,,present,6,10,2000,"['AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav']",AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav,1,
10,1677185572508,23/02/2023 20:52:52,1677185572302,-5,23/02/2023 15:52:52,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,21,3,1,Screen 1,Zone1,content_web_audio,0.3999999761581421,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,2,2,task-ap,Block_4_male_1speaker_present_pitch_6_serial_2_1.wav,,,,### pitch,,present,6,10,2000,"['AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav']",AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav,2,
11,1677185577253,23/02/2023 20:52:57,1677185577153,-5,23/02/2023 15:52:57,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,21,3,1,Screen 1,Zone1,content_web_audio,4850.899999976158,null,,null,,0,1,0,null,null,false,2,2,task-ap,Block_4_male_1speaker_present_pitch_6_serial_2_1.wav,,,,### pitch,,present,6,10,2000,"['AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav']",AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav,2,
12,1677185578943,23/02/2023 20:52:58,1677185578804,-5,23/02/2023 15:52:58,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,21,3,2,Screen 2,buttonA,response_button_text,1637.2000000476837,null,,present,1,0,1,0,null,null,false,2,2,task-ap,Block_4_male_1speaker_present_pitch_6_serial_2_1.wav,,,,### pitch,,present,6,10,2000,"['AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav']",AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav,2,
13,1677185579206,23/02/2023 20:52:59,1677185578819,-5,23/02/2023 15:52:58,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,14,4,1,Screen 1,Zone1,content_web_audio,0.40000009536743164,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,2,2,task-ap,Block_4_female_1speaker_absent_pitch_6_serial_3_1.wav,,,,### pitch,,absent,6,10,2000,"['AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']",AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav,3,
14,1677185583843,23/02/2023 20:53:03,1677185583672,-5,23/02/2023 15:53:03,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,14,4,1,Screen 1,Zone1,content_web_audio,4853.300000071526,null,,null,,0,1,0,null,null,false,2,2,task-ap,Block_4_female_1speaker_absent_pitch_6_serial_3_1.wav,,,,### pitch,,absent,6,10,2000,"['AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']",AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav,3,
15,1677185585551,23/02/2023 20:53:05,1677185585168,-5,23/02/2023 15:53:05,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,14,4,2,Screen 2,buttonA,response_button_text,1482.5,null,,present,1,0,1,0,null,null,false,2,2,task-ap,Block_4_female_1speaker_absent_pitch_6_serial_3_1.wav,,,,### pitch,,absent,6,10,2000,"['AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']",AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav,3,
16,1677185586074,23/02/2023 20:53:06,1677185585179,-5,23/02/2023 15:53:05,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,20,5,1,Screen 1,Zone1,content_web_audio,0.5,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,2,2,task-ap,Block_4_male_1speaker_absent_pitch_6_serial_2_1.wav,,,,### pitch,,absent,6,10,2000,"['AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav']",AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav,2,
17,1677185590202,23/02/2023 20:53:10,1677185590035,-5,23/02/2023 15:53:10,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,20,5,1,Screen 1,Zone1,content_web_audio,4855.800000071526,null,,null,,0,1,0,null,null,false,2,2,task-ap,Block_4_male_1speaker_absent_pitch_6_serial_2_1.wav,,,,### pitch,,absent,6,10,2000,"['AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav']",AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav,2,
18,1677185591326,23/02/2023 20:53:11,1677185591234,-5,23/02/2023 15:53:11,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,20,5,2,Screen 2,buttonB,response_button_text,1187.7000000476837,null,,absent,1,0,1,0,null,null,false,2,2,task-ap,Block_4_male_1speaker_absent_pitch_6_serial_2_1.wav,,,,### pitch,,absent,6,10,2000,"['AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav']",AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav,2,
19,1677185591452,23/02/2023 20:53:11,1677185591248,-5,23/02/2023 15:53:11,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,18,6,1,Screen 1,Zone1,content_web_audio,0.3999999761581421,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,2,2,task-ap,Block_4_male_1speaker_present_pitch_6_serial_0_1.wav,,,,### pitch,,present,6,10,2000,"['AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav']",AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav,0,
20,1677185596271,23/02/2023 20:53:16,1677185596100,-5,23/02/2023 15:53:16,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,18,6,1,Screen 1,Zone1,content_web_audio,4852.100000023842,null,,null,,0,1,0,null,null,false,2,2,task-ap,Block_4_male_1speaker_present_pitch_6_serial_0_1.wav,,,,### pitch,,present,6,10,2000,"['AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav']",AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav,0,
21,1677185598253,23/02/2023 20:53:18,1677185598163,-5,23/02/2023 15:53:18,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,18,6,2,Screen 2,buttonB,response_button_text,2049.600000023842,null,,absent,1,0,1,0,null,null,false,2,2,task-ap,Block_4_male_1speaker_present_pitch_6_serial_0_1.wav,,,,### pitch,,present,6,10,2000,"['AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav']",AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav,0,
22,1677185598593,23/02/2023 20:53:18,1677185598176,-5,23/02/2023 15:53:18,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,23,7,1,Screen 1,Zone1,content_web_audio,0.2999999523162842,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,2,2,task-ap,Block_4_male_1speaker_present_pitch_6_serial_5_1.wav,,,,### pitch,,present,6,10,2000,"['AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav']",AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav,5,
23,1677185603301,23/02/2023 20:53:23,1677185603029,-5,23/02/2023 15:53:23,117834,2,task-venc,,27516452,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section4_4semi_10ms_468,AP_syllable_section4_4semi_10ms_468,23,7,1,Screen 1,Zone1,content_web_audio,4853.100000023842,null,,null,,0,1,0,null,null,false,2,2,task-ap,Block_4_male_1speaker_present_pitch_6_serial_5_1.wav,,,,### pitch,,present,6,10,2000,"['AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav']",AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav,5,
