Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fh7p,branch-k5w1,order-p2cm,checkpoint-2b62,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Audio_Filename,Same_Different,text,embedded,Attend_Condition,Present_Absent,Absent_Present,Length,Pause,Sequence Pause,Sequence_Names,Switch_Names,Stim_Ind,Stim_Name
1,1677170069203,23/02/2023 16:34:29,1677170069046,-5,23/02/2023 11:34:29,117834,2,task-dew6,,27507967,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section1_4semi_10ms_468,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,
2,1677170075090,23/02/2023 16:34:35,1677170074836,-5,23/02/2023 11:34:34,117834,2,task-dew6,,27507967,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section1_4semi_10ms_468,AP_syllable_section1_4semi_10ms_468,1,1,1,Screen 1,advancementZone,continue_button,5763.799999952316,null,,null,,0,1,0,null,null,false,,,text,,,"<p style=""font-size: 32px;""> In this experiement there will be 4 blocks.   Press ""Next"" to enter the block.  </p>",,,,,,,,,,,
3,1677170080150,23/02/2023 16:34:40,1677170080007,-5,23/02/2023 11:34:40,117834,2,task-dew6,,27507967,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section1_4semi_10ms_468,AP_syllable_section1_4semi_10ms_468,63,2,1,Screen 1,advancementZone,continue_button,5159.800000071526,null,,null,,0,1,0,null,null,false,6,,text,,,"<p style=""font-size: 32px;""> In this task, you will hear a sequence of syllables with different pitches, a pause, then a singular syllable.  Your task is to determine whether this singular SYLLABLE is in the previous sequence.  After hearing the singular syllable, you will be prompted to indicate whether the syllable  was ""absent"" or ""present"" from the sequence. Press ""Next"" to start trials. </p>",,,,,,,,,,,
4,1677170080239,23/02/2023 16:34:40,1677170080029,-5,23/02/2023 11:34:40,117834,2,task-dew6,,27507967,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section1_4semi_10ms_468,AP_syllable_section1_4semi_10ms_468,75,1,1,Screen 1,Zone1,content_web_audio,0.2999999523162842,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,6,6,task-ap,Block_1_male_1speaker_present_word_8_serial_2_1.wav,,,,### syllable,,present,8,10,2000,"['AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav']",AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav,2,
5,1677170085824,23/02/2023 16:34:45,1677170085699,-5,23/02/2023 11:34:45,117834,2,task-dew6,,27507967,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section1_4semi_10ms_468,AP_syllable_section1_4semi_10ms_468,75,1,1,Screen 1,Zone1,content_web_audio,5670.600000023842,null,,null,,0,1,0,null,null,false,6,6,task-ap,Block_1_male_1speaker_present_word_8_serial_2_1.wav,,,,### syllable,,present,8,10,2000,"['AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav']",AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav,2,
6,1677170086982,23/02/2023 16:34:46,1677170086863,-5,23/02/2023 11:34:46,117834,2,task-dew6,,27507967,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section1_4semi_10ms_468,AP_syllable_section1_4semi_10ms_468,75,1,2,Screen 2,buttonA,response_button_text,1147.5,null,,present,1,0,1,0,null,null,false,6,6,task-ap,Block_1_male_1speaker_present_word_8_serial_2_1.wav,,,,### syllable,,present,8,10,2000,"['AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav']",AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav,2,
7,1677170087287,23/02/2023 16:34:47,1677170086872,-5,23/02/2023 11:34:46,117834,2,task-dew6,,27507967,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section1_4semi_10ms_468,AP_syllable_section1_4semi_10ms_468,69,2,1,Screen 1,Zone1,content_web_audio,0.40000009536743164,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,6,6,task-ap,Block_1_female_1speaker_present_word_8_serial_0_1.wav,,,,### syllable,,present,8,10,2000,"['AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav']",AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav,0,
8,1677170092646,23/02/2023 16:34:52,1677170092543,-5,23/02/2023 11:34:52,117834,2,task-dew6,,27507967,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section1_4semi_10ms_468,AP_syllable_section1_4semi_10ms_468,69,2,1,Screen 1,Zone1,content_web_audio,5670.900000095367,null,,null,,0,1,0,null,null,false,6,6,task-ap,Block_1_female_1speaker_present_word_8_serial_0_1.wav,,,,### syllable,,present,8,10,2000,"['AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav']",AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav,0,
9,1677170093858,23/02/2023 16:34:53,1677170093732,-5,23/02/2023 11:34:53,117834,2,task-dew6,,27507967,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section1_4semi_10ms_468,AP_syllable_section1_4semi_10ms_468,69,2,2,Screen 2,buttonA,response_button_text,1177.7000000476837,null,,present,1,0,1,0,null,null,false,6,6,task-ap,Block_1_female_1speaker_present_word_8_serial_0_1.wav,,,,### syllable,,present,8,10,2000,"['AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav']",AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav,0,
10,1677170094178,23/02/2023 16:34:54,1677170093744,-5,23/02/2023 11:34:53,117834,2,task-dew6,,27507967,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section1_4semi_10ms_468,AP_syllable_section1_4semi_10ms_468,68,3,1,Screen 1,Zone1,content_web_audio,0.2999999523162842,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,6,6,task-ap,Block_1_female_1speaker_present_word_8_serial_6_1.wav,,,,### syllable,,present,8,10,2000,"['AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav']",AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav,6,
11,1677170099530,23/02/2023 16:34:59,1677170099417,-5,23/02/2023 11:34:59,117834,2,task-dew6,,27507967,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section1_4semi_10ms_468,AP_syllable_section1_4semi_10ms_468,68,3,1,Screen 1,Zone1,content_web_audio,5672.899999976158,null,,null,,0,1,0,null,null,false,6,6,task-ap,Block_1_female_1speaker_present_word_8_serial_6_1.wav,,,,### syllable,,present,8,10,2000,"['AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav']",AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav,6,
12,1677170102545,23/02/2023 16:35:02,1677170102419,-5,23/02/2023 11:35:02,117834,2,task-dew6,,27507967,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section1_4semi_10ms_468,AP_syllable_section1_4semi_10ms_468,68,3,2,Screen 2,buttonA,response_button_text,2996,null,,present,1,0,1,0,null,null,false,6,6,task-ap,Block_1_female_1speaker_present_word_8_serial_6_1.wav,,,,### syllable,,present,8,10,2000,"['AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav']",AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav,6,
13,1677170102658,23/02/2023 16:35:02,1677170102433,-5,23/02/2023 11:35:02,117834,2,task-dew6,,27507967,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section1_4semi_10ms_468,AP_syllable_section1_4semi_10ms_468,67,4,1,Screen 1,Zone1,content_web_audio,0.30000007152557373,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,6,6,task-ap,Block_1_female_1speaker_absent_word_8_serial_5_1.wav,,,,### syllable,,absent,8,10,2000,"['AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav']",AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0.wav,5,
14,1677170108249,23/02/2023 16:35:08,1677170108106,-5,23/02/2023 11:35:08,117834,2,task-dew6,,27507967,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section1_4semi_10ms_468,AP_syllable_section1_4semi_10ms_468,67,4,1,Screen 1,Zone1,content_web_audio,5673,null,,null,,0,1,0,null,null,false,6,6,task-ap,Block_1_female_1speaker_absent_word_8_serial_5_1.wav,,,,### syllable,,absent,8,10,2000,"['AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav']",AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0.wav,5,
15,1677170108963,23/02/2023 16:35:08,1677170108839,-5,23/02/2023 11:35:08,117834,2,task-dew6,,27507967,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section1_4semi_10ms_468,AP_syllable_section1_4semi_10ms_468,67,4,2,Screen 2,buttonB,response_button_text,720.1000000238419,null,,absent,1,0,1,0,null,null,false,6,6,task-ap,Block_1_female_1speaker_absent_word_8_serial_5_1.wav,,,,### syllable,,absent,8,10,2000,"['AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav']",AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0.wav,5,
16,1677170109091,23/02/2023 16:35:09,1677170108852,-5,23/02/2023 11:35:08,117834,2,task-dew6,,27507967,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section1_4semi_10ms_468,AP_syllable_section1_4semi_10ms_468,72,5,1,Screen 1,Zone1,content_web_audio,0.3999999761581421,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,6,6,task-ap,Block_1_male_1speaker_absent_word_8_serial_0_1.wav,,,,### syllable,,absent,8,10,2000,"['AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav']",AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav,0,
17,1677170114647,23/02/2023 16:35:14,1677170114527,-5,23/02/2023 11:35:14,117834,2,task-dew6,,27507967,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section1_4semi_10ms_468,AP_syllable_section1_4semi_10ms_468,72,5,1,Screen 1,Zone1,content_web_audio,5674.799999952316,null,,null,,0,1,0,null,null,false,6,6,task-ap,Block_1_male_1speaker_absent_word_8_serial_0_1.wav,,,,### syllable,,absent,8,10,2000,"['AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav']",AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav,0,
18,1677170116793,23/02/2023 16:35:16,1677170116679,-5,23/02/2023 11:35:16,117834,2,task-dew6,,27507967,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section1_4semi_10ms_468,AP_syllable_section1_4semi_10ms_468,72,5,2,Screen 2,buttonB,response_button_text,2139.0999999046326,null,,absent,1,0,1,0,null,null,false,6,6,task-ap,Block_1_male_1speaker_absent_word_8_serial_0_1.wav,,,,### syllable,,absent,8,10,2000,"['AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav']",AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav,0,
19,1677170116919,23/02/2023 16:35:16,1677170116692,-5,23/02/2023 11:35:16,117834,2,task-dew6,,27507967,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section1_4semi_10ms_468,AP_syllable_section1_4semi_10ms_468,64,6,1,Screen 1,Zone1,content_web_audio,0.5,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,6,6,task-ap,Block_1_female_1speaker_absent_word_8_serial_4_1.wav,,,,### syllable,,absent,8,10,2000,"['AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav']",AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav,4,
20,1677170122483,23/02/2023 16:35:22,1677170122368,-5,23/02/2023 11:35:22,117834,2,task-dew6,,27507967,,8176999,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 109.0.0.0,1440x900,1440x820,halfway,Perceptual Organization Pilot - Audio,73,Practice Good,,ABCD,halfway,AP_syllable_section1_4semi_10ms_468,AP_syllable_section1_4semi_10ms_468,64,6,1,Screen 1,Zone1,content_web_audio,5675.699999928474,null,,null,,0,1,0,null,null,false,6,6,task-ap,Block_1_female_1speaker_absent_word_8_serial_4_1.wav,,,,### syllable,,absent,8,10,2000,"['AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav']",AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav,4,
