Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fh7p,branch-k5w1,order-p2cm,checkpoint-2b62,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Audio_Filename,Same_Different,text,embedded,Attend_Condition,Present_Absent,Absent_Present,Length,Pause,Sequence Pause,Sequence_Names,Switch_Names,Stim_Ind,Stim_Name
1,1677509954222,27/02/2023 14:59:14,1677509950658,-5,27/02/2023 09:59:10,117833,3,,,27597497,,8205442,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section1_4semi_10ms_468,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,
2,1677510022256,27/02/2023 15:00:22,1677510018896,-5,27/02/2023 10:00:18,117833,3,,,27597497,,8205442,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section1_4semi_10ms_468,SD_syllable_section1_4semi_10ms_468,1,1,1,Screen 1,advancementZone,continue_button,68219.19999992847,null,,null,,0,1,0,null,null,false,,,text,,,"<p style=""font-size: 32px;""> In this experiement there will be 4 blocks.   Press ""Next"" to enter the block.  </p>",,,,,,,,,,,
3,1677510034948,27/02/2023 15:00:34,1677510031585,-5,27/02/2023 10:00:31,117833,3,,,27597497,,8205442,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section1_4semi_10ms_468,SD_syllable_section1_4semi_10ms_468,42,2,1,Screen 1,advancementZone,continue_button,12681,null,,null,,0,1,0,null,null,false,5,,text,,,"<p style=""font-size: 32px;""> In this task, you will hear a sequence of syllables with different pitches, a pause, then another sequence with different pitches. Your task is to determine whether the SYLLABLEs in the first sequence are in the same or different order than the SYLLABLEs in the second sequence. After hearing these two sequences, you will be prompted to indicate whether these sequences are the ""same"" or ""different"". Press ""Next"" to start trials. </p>",,,,,,,,,,,
4,1677510035070,27/02/2023 15:00:35,1677510031598,-5,27/02/2023 10:00:31,117833,3,,,27597497,,8205442,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section1_4semi_10ms_468,SD_syllable_section1_4semi_10ms_468,43,1,1,Screen 1,audio,content_web_audio,0.7000000476837158,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,5,5,task-sd,Block_1_female_1speaker_diff_word_6_serial_2_stim1.wav,different,,,### syllable,,,6,10,2000,"['AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav']","['AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav']",2,
5,1677510041846,27/02/2023 15:00:41,1677510038500,-5,27/02/2023 10:00:38,117833,3,,,27597497,,8205442,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section1_4semi_10ms_468,SD_syllable_section1_4semi_10ms_468,43,1,1,Screen 1,audio,content_web_audio,6902.100000023842,null,,null,,0,1,0,null,null,false,5,5,task-sd,Block_1_female_1speaker_diff_word_6_serial_2_stim1.wav,different,,,### syllable,,,6,10,2000,"['AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav']","['AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav']",2,
6,1677510043134,27/02/2023 15:00:43,1677510039787,-5,27/02/2023 10:00:39,117833,3,,,27597497,,8205442,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section1_4semi_10ms_468,SD_syllable_section1_4semi_10ms_468,43,1,2,Screen 2,buttonB,response_button_text,1280.9000000953674,null,,different,1,1,0,0,null,null,false,5,5,task-sd,Block_1_female_1speaker_diff_word_6_serial_2_stim1.wav,different,,,### syllable,,,6,10,2000,"['AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav']","['AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav']",2,
7,1677510043247,27/02/2023 15:00:43,1677510039794,-5,27/02/2023 10:00:39,117833,3,,,27597497,,8205442,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section1_4semi_10ms_468,SD_syllable_section1_4semi_10ms_468,47,2,1,Screen 1,audio,content_web_audio,0.3999999761581421,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,5,5,task-sd,Block_1_female_1speaker_same_word_6_serial_2_stim1.wav,same,,,### syllable,,,6,10,2000,"['AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav']","['AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav']",,
8,1677510050043,27/02/2023 15:00:50,1677510046694,-5,27/02/2023 10:00:46,117833,3,,,27597497,,8205442,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section1_4semi_10ms_468,SD_syllable_section1_4semi_10ms_468,47,2,1,Screen 1,audio,content_web_audio,6900.099999904633,null,,null,,0,1,0,null,null,false,5,5,task-sd,Block_1_female_1speaker_same_word_6_serial_2_stim1.wav,same,,,### syllable,,,6,10,2000,"['AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav']","['AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav']",,
9,1677510052913,27/02/2023 15:00:52,1677510049553,-5,27/02/2023 10:00:49,117833,3,,,27597497,,8205442,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section1_4semi_10ms_468,SD_syllable_section1_4semi_10ms_468,47,2,2,Screen 2,buttonA,response_button_text,2854,null,,same,1,1,0,0,null,null,false,5,5,task-sd,Block_1_female_1speaker_same_word_6_serial_2_stim1.wav,same,,,### syllable,,,6,10,2000,"['AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav']","['AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav']",,
10,1677510053026,27/02/2023 15:00:53,1677510049558,-5,27/02/2023 10:00:49,117833,3,,,27597497,,8205442,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section1_4semi_10ms_468,SD_syllable_section1_4semi_10ms_468,45,3,1,Screen 1,audio,content_web_audio,0.3999999761581421,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,5,5,task-sd,Block_1_female_1speaker_same_word_6_serial_1_stim1.wav,same,,,### syllable,,,6,10,2000,"['AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav']","['AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav']",,
11,1677510059816,27/02/2023 15:00:59,1677510056459,-5,27/02/2023 10:00:56,117833,3,,,27597497,,8205442,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section1_4semi_10ms_468,SD_syllable_section1_4semi_10ms_468,45,3,1,Screen 1,audio,content_web_audio,6900.600000023842,null,,null,,0,1,0,null,null,false,5,5,task-sd,Block_1_female_1speaker_same_word_6_serial_1_stim1.wav,same,,,### syllable,,,6,10,2000,"['AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav']","['AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav']",,
12,1677510060693,27/02/2023 15:01:00,1677510057209,-5,27/02/2023 10:00:57,117833,3,,,27597497,,8205442,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section1_4semi_10ms_468,SD_syllable_section1_4semi_10ms_468,45,3,2,Screen 2,buttonA,response_button_text,746.2000000476837,null,,same,1,1,0,0,null,null,false,5,5,task-sd,Block_1_female_1speaker_same_word_6_serial_1_stim1.wav,same,,,### syllable,,,6,10,2000,"['AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav']","['AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav']",,
13,1677510060841,27/02/2023 15:01:00,1677510057216,-5,27/02/2023 10:00:57,117833,3,,,27597497,,8205442,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section1_4semi_10ms_468,SD_syllable_section1_4semi_10ms_468,46,4,1,Screen 1,audio,content_web_audio,0.3999999761581421,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,5,5,task-sd,Block_1_female_1speaker_diff_word_6_serial_3_stim1.wav,different,,,### syllable,,,6,10,2000,"['AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0.wav']","['AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav']",3,
14,1677510067499,27/02/2023 15:01:07,1677510064116,-5,27/02/2023 10:01:04,117833,3,,,27597497,,8205442,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section1_4semi_10ms_468,SD_syllable_section1_4semi_10ms_468,46,4,1,Screen 1,audio,content_web_audio,6900.5,null,,null,,0,1,0,null,null,false,5,5,task-sd,Block_1_female_1speaker_diff_word_6_serial_3_stim1.wav,different,,,### syllable,,,6,10,2000,"['AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0.wav']","['AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav']",3,
15,1677510068354,27/02/2023 15:01:08,1677510065004,-5,27/02/2023 10:01:05,117833,3,,,27597497,,8205442,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section1_4semi_10ms_468,SD_syllable_section1_4semi_10ms_468,46,4,2,Screen 2,buttonB,response_button_text,883.3999999761581,null,,different,1,1,0,0,null,null,false,5,5,task-sd,Block_1_female_1speaker_diff_word_6_serial_3_stim1.wav,different,,,### syllable,,,6,10,2000,"['AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0.wav']","['AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav']",3,
16,1677510068483,27/02/2023 15:01:08,1677510065010,-5,27/02/2023 10:01:05,117833,3,,,27597497,,8205442,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section1_4semi_10ms_468,SD_syllable_section1_4semi_10ms_468,50,5,1,Screen 1,audio,content_web_audio,0.5,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,5,5,task-sd,Block_1_male_1speaker_same_word_6_serial_3_stim1.wav,same,,,### syllable,,,6,10,2000,"['AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav']","['AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav']",,
17,1677510075260,27/02/2023 15:01:15,1677510071911,-5,27/02/2023 10:01:11,117833,3,,,27597497,,8205442,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section1_4semi_10ms_468,SD_syllable_section1_4semi_10ms_468,50,5,1,Screen 1,audio,content_web_audio,6901.600000023842,null,,null,,0,1,0,null,null,false,5,5,task-sd,Block_1_male_1speaker_same_word_6_serial_3_stim1.wav,same,,,### syllable,,,6,10,2000,"['AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav']","['AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav']",,
18,1677510078658,27/02/2023 15:01:18,1677510075291,-5,27/02/2023 10:01:15,117833,3,,,27597497,,8205442,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1321,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section1_4semi_10ms_468,SD_syllable_section1_4semi_10ms_468,50,5,2,Screen 2,buttonA,response_button_text,3375.6999999284744,null,,same,1,1,0,0,null,null,false,5,5,task-sd,Block_1_male_1speaker_same_word_6_serial_3_stim1.wav,same,,,### syllable,,,6,10,2000,"['AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav']","['AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav']",,
