Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-fh7p,branch-k5w1,order-p2cm,checkpoint-2b62,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Audio_Filename,Same_Different,text,embedded,Attend_Condition,Present_Absent,Absent_Present,Length,Pause,Sequence Pause,Sequence_Names,Switch_Names,Stim_Ind,Stim_Name
1,1677510782425,27/02/2023 15:13:02,1677510782334,-5,27/02/2023 10:13:02,117833,3,,,27598128,,8205645,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section2_4semi_10ms_468,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,
2,1677510787280,27/02/2023 15:13:07,1677510787217,-5,27/02/2023 10:13:07,117833,3,,,27598128,,8205645,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section2_4semi_10ms_468,SD_syllable_section2_4semi_10ms_468,1,1,1,Screen 1,advancementZone,continue_button,4866.200000047684,null,,null,,0,1,0,null,null,false,,,text,,,"<p style=""font-size: 32px;""> In this experiement there will be 4 blocks.   Press ""Next"" to enter the block.  </p>",,,,,,,,,,,
3,1677510792258,27/02/2023 15:13:12,1677510792203,-5,27/02/2023 10:13:12,117833,3,,,27598128,,8205645,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section2_4semi_10ms_468,SD_syllable_section2_4semi_10ms_468,20,2,1,Screen 1,advancementZone,continue_button,4979.5,null,,null,,0,1,0,null,null,false,3,,text,,,"<p style=""font-size: 32px;""> In this task, you will hear a sequence of syllables with different pitches, a pause, then another sequence with different pitches. Your task is to determine whether the PITCHes in the first sequence are in the same or different order than the PITCHes in the second sequence. After hearing these two sequences, you will be prompted to indicate whether these sequences are the ""same"" or ""different"". Press ""Next"" to start trials. </p>",,,,,,,,,,,
4,1677510792367,27/02/2023 15:13:12,1677510792210,-5,27/02/2023 10:13:12,117833,3,,,27598128,,8205645,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section2_4semi_10ms_468,SD_syllable_section2_4semi_10ms_468,33,1,1,Screen 1,audio,content_web_audio,0.6999999284744263,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,3,3,task-sd,Block_2_male_1speaker_same_pitch_8_serial_5_stim1.wav,same,,,### pitch,,,8,10,2000,"['AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav']","['AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav']",,
5,1677510800851,27/02/2023 15:13:20,1677510800751,-5,27/02/2023 10:13:20,117833,3,,,27598128,,8205645,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section2_4semi_10ms_468,SD_syllable_section2_4semi_10ms_468,33,1,1,Screen 1,audio,content_web_audio,8541.899999976158,null,,null,,0,1,0,null,null,false,3,3,task-sd,Block_2_male_1speaker_same_pitch_8_serial_5_stim1.wav,same,,,### pitch,,,8,10,2000,"['AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav']","['AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav']",,
6,1677510806740,27/02/2023 15:13:26,1677510806665,-5,27/02/2023 10:13:26,117833,3,,,27598128,,8205645,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section2_4semi_10ms_468,SD_syllable_section2_4semi_10ms_468,33,1,2,Screen 2,buttonA,response_button_text,5908.399999976158,null,,same,1,1,0,0,null,null,false,3,3,task-sd,Block_2_male_1speaker_same_pitch_8_serial_5_stim1.wav,same,,,### pitch,,,8,10,2000,"['AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav']","['AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_16.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav']",,
7,1677510806845,27/02/2023 15:13:26,1677510806670,-5,27/02/2023 10:13:26,117833,3,,,27598128,,8205645,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section2_4semi_10ms_468,SD_syllable_section2_4semi_10ms_468,34,2,1,Screen 1,audio,content_web_audio,0.3999999761581421,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,3,3,task-sd,Block_2_male_1speaker_same_pitch_8_serial_6_stim1.wav,same,,,### pitch,,,8,10,2000,"['AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav']","['AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav']",,
8,1677510815281,27/02/2023 15:13:35,1677510815210,-5,27/02/2023 10:13:35,117833,3,,,27598128,,8205645,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section2_4semi_10ms_468,SD_syllable_section2_4semi_10ms_468,34,2,1,Screen 1,audio,content_web_audio,8539.399999976158,null,,null,,0,1,0,null,null,false,3,3,task-sd,Block_2_male_1speaker_same_pitch_8_serial_6_stim1.wav,same,,,### pitch,,,8,10,2000,"['AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav']","['AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav']",,
9,1677510819278,27/02/2023 15:13:39,1677510819221,-5,27/02/2023 10:13:39,117833,3,,,27598128,,8205645,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section2_4semi_10ms_468,SD_syllable_section2_4semi_10ms_468,34,2,2,Screen 2,buttonB,response_button_text,4006.2999999523163,null,,different,1,0,1,0,null,null,false,3,3,task-sd,Block_2_male_1speaker_same_pitch_8_serial_6_stim1.wav,same,,,### pitch,,,8,10,2000,"['AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_ga-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav']","['AP_dee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-12.wav'
 'AP_doo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-4.wav'
 'AP_da-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_4.wav'
 'AP_goo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_8.wav'
 'AP_ba-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-16.wav'
 'AP_boo-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_12.wav'
 'AP_bee-changeduration_Stretch__0_4-changepitchmedian_100__0.wav'
 'AP_gee-changeduration_Stretch__0_4-changepitchmedian_100__0-changesemitones_-8.wav']",,
10,1677510819379,27/02/2023 15:13:39,1677510819226,-5,27/02/2023 10:13:39,117833,3,,,27598128,,8205645,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section2_4semi_10ms_468,SD_syllable_section2_4semi_10ms_468,21,3,1,Screen 1,audio,content_web_audio,0.2999999523162842,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,3,3,task-sd,Block_2_female_1speaker_diff_pitch_8_serial_5_stim1.wav,different,,,### pitch,,,8,10,2000,"['AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']","['AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']",5,
11,1677510827828,27/02/2023 15:13:47,1677510827778,-5,27/02/2023 10:13:47,117833,3,,,27598128,,8205645,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section2_4semi_10ms_468,SD_syllable_section2_4semi_10ms_468,21,3,1,Screen 1,audio,content_web_audio,8540,null,,null,,0,1,0,null,null,false,3,3,task-sd,Block_2_female_1speaker_diff_pitch_8_serial_5_stim1.wav,different,,,### pitch,,,8,10,2000,"['AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']","['AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']",5,
12,1677510830799,27/02/2023 15:13:50,1677510830765,-5,27/02/2023 10:13:50,117833,3,,,27598128,,8205645,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section2_4semi_10ms_468,SD_syllable_section2_4semi_10ms_468,21,3,2,Screen 2,buttonA,response_button_text,2981.899999976158,null,,same,1,0,1,0,null,null,false,3,3,task-sd,Block_2_female_1speaker_diff_pitch_8_serial_5_stim1.wav,different,,,### pitch,,,8,10,2000,"['AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']","['AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_16.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']",5,
13,1677510830907,27/02/2023 15:13:50,1677510830771,-5,27/02/2023 10:13:50,117833,3,,,27598128,,8205645,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section2_4semi_10ms_468,SD_syllable_section2_4semi_10ms_468,24,4,1,Screen 1,audio,content_web_audio,0.2999999523162842,null,,AUDIO PLAY REQUESTED,1,0,1,0,,,false,3,3,task-sd,Block_2_female_1speaker_same_pitch_8_serial_4_stim1.wav,same,,,### pitch,,,8,10,2000,"['AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']","['AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']",,
14,1677510839352,27/02/2023 15:13:59,1677510839310,-5,27/02/2023 10:13:59,117833,3,,,27598128,,8205645,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section2_4semi_10ms_468,SD_syllable_section2_4semi_10ms_468,24,4,1,Screen 1,audio,content_web_audio,8539.5,null,,null,,0,1,0,null,null,false,3,3,task-sd,Block_2_female_1speaker_same_pitch_8_serial_4_stim1.wav,same,,,### pitch,,,8,10,2000,"['AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']","['AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']",,
15,1677510843521,27/02/2023 15:14:03,1677510843486,-5,27/02/2023 10:14:03,117833,3,,,27598128,,8205645,,live,,,computer,Desktop or Laptop,Windows 10,Chrome 110.0.0.0,2560x1440,2560x1264,,Perceptual Organization Pilot - Audio,73,,,,,SD_syllable_section2_4semi_10ms_468,SD_syllable_section2_4semi_10ms_468,24,4,2,Screen 2,buttonB,response_button_text,4171.299999952316,null,,different,1,0,1,0,null,null,false,3,3,task-sd,Block_2_female_1speaker_same_pitch_8_serial_4_stim1.wav,same,,,### pitch,,,8,10,2000,"['AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_goo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']","['AI_gee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_8.wav'
 'AI_bee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_4.wav'
 'AI_ba-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-4.wav'
 'AI_da-changeduration_Stretch__0_4-changepitchmedian_200__0.wav'
 'AI_boo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-12.wav'
 'AI_dee-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-16.wav'
 'AI_doo-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_-8.wav'
 'AI_ga-changeduration_Stretch__0_4-changepitchmedian_200__0-changesemitones_12.wav']",,
